Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66393.8,   30.0,   0.99998, 2,    66395.1,  -90.0,         1, 3,      66392,  150.0,   0.99995
"650", 4.16, 1,    2401.57,    0.0,   0.99991, 2,    2401.73, -120.0,   0.99998, 3,    2401.62,  120.0,   0.99993
"RG60", 4.16, 1,    2536.33,    0.0,     1.056, 2,    2491.56, -120.0,    1.0374, 3,    2536.37,  120.0,     1.056
"633", 4.16, 1,    2422.34,   -3.3,    1.0086, 2,    2478.89, -122.5,    1.0321, 3,    2403.68,  117.1,    1.0008
"634", 0.48, 1,    272.791,   -4.0,   0.98435, 2,    280.898, -123.0,    1.0136, 3,    272.052,  116.6,   0.98168
"671", 4.16, 1,    2350.96,   -6.9,   0.97884, 2,    2524.16, -123.8,     1.051, 3,    2316.41,  114.6,   0.96446
"645", 4.16, 2,    2461.39, -122.6,    1.0248, 3,    2405.42,  117.1,    1.0015, 0, 0, 0, 0
"646", 4.16, 2,    2457.26, -122.7,    1.0231, 3,    2400.53,  117.2,   0.99948, 0, 0, 0, 0
"692", 4.16, 1,    2350.96,   -6.9,   0.97884, 2,    2524.16, -123.8,     1.051, 3,    2316.41,  114.6,   0.96446
"675", 4.16, 1,    2339.39,   -7.3,   0.97403, 2,    2534.62, -124.1,    1.0553, 3,    2317.41,  114.5,   0.96487
"611", 4.16, 3,     2306.7,  114.4,   0.96041, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 1,    2333.12,   -6.9,   0.97141, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    2403.49,   -4.5,    1.0007, 2,    2494.89, -122.9,    1.0388, 3,    2375.37,  116.2,     0.989
"632", 4.16, 1,    2429.67,   -3.3,    1.0116, 2,    2483.47, -122.5,     1.034, 3,    2410.05,  117.1,    1.0034
"680", 4.16, 1,    2350.96,   -6.9,   0.97884, 2,    2524.16, -123.8,     1.051, 3,    2316.41,  114.6,   0.96446
"684", 4.16, 1,    2346.37,   -6.9,   0.97693, 3,    2311.54,  114.5,   0.96243, 0, 0, 0, 0
