#{"t_start": 1598502398.0228744, "env_id": "openDSS-v0"}
r,l,t
-1723.968225,1,2.024563
-1896.212045,1,2.072439
-46892.635311,1,2.118311
-5234.151041,1,2.166184
-401.792767,1,2.215088
-1917.042591,1,2.262929
-1268.687999,1,2.308833
-2840.597681,1,2.35468
-4989.571771,1,2.402552
-9418.640669,1,2.449459
-5065.76407,1,2.498328
-4954.303644,1,2.545202
-6613.735308,1,2.589083
-8855.412719,1,2.632967
-3157.332242,1,2.678844
-15772.415296,1,2.726683
-28000.405791,1,2.770566
-10762.166716,1,2.816477
-3164.430211,1,2.861323
-5322.667048,1,2.907234
-13013.894622,1,2.955106
-2541.699736,1,2.999986
-2290.221096,1,3.048855
-3447.601801,1,3.103714
-60.922438,1,3.15155
-3190.468768,1,3.203411
-1576.608563,1,3.254308
-5425.842902,1,3.30517
-657.350127,1,3.356003
-4869.210247,1,3.401878
-3112.145671,1,3.443766
-1255.607464,1,3.509631
-3955.64823,1,3.587383
-5108.758046,1,3.679138
-4757.263393,1,3.745959
-4282.184403,1,3.805231
-1923.551697,1,3.858124
-4439.435797,1,3.908003
-5.711336,1,3.956827
-10559.390114,1,3.999711
-1561.621471,1,4.045588
-10260.806342,1,4.102437
-5.851166,1,4.157327
-5025.149738,1,4.206159
-14937.281898,1,4.254063
-2197.146929,1,4.302901
-8109.73714,1,4.355759
-10582.837699,1,4.399641
-5468.21366,1,4.459481
-2799.583882,1,4.517361
-8140.806763,1,4.572181
-1957.750764,1,4.618058
-12180.529349,1,4.661972
-680.361672,1,4.705854
-5176.222836,1,4.745717
-14679.547064,1,4.789598
-3981.793705,1,4.836473
-6724.367389,1,4.886373
-2724.667337,1,4.936206
-29016.983465,1,4.983082
-4215.108607,1,5.025975
-36882.706258,1,5.068853
-842.299681,1,5.111771
-5.919099,1,5.157615
-887.101407,1,5.199536
-1514.753373,1,5.241421
-11040.150451,1,5.283277
-9926.332799,1,5.326165
-2795.486649,1,5.370046
-2846.707505,1,5.415925
-15576.556249,1,5.461802
-10010.656177,1,5.504686
-1747.539254,1,5.548602
-2017.150933,1,5.594447
-5085.579103,1,5.640324
-4721.757857,1,5.686242
-5730.442633,1,5.73208
-8578.166136,1,5.778954
-175.249479,1,5.822837
-22767.569607,1,5.865755
-1198.585077,1,5.909604
-3526.072589,1,5.955514
-491.372667,1,5.998372
-3683.160815,1,6.036301
-4437.981675,1,6.084323
-153.175392,1,6.122254
-653.227749,1,6.164109
-6986.487387,1,6.207992
-23771.444347,1,6.251876
-250.791105,1,6.292767
-2230.318691,1,6.334654
-24008.545347,1,6.375576
-8653.182645,1,6.416466
-2222.30561,1,6.457357
-9903.675777,1,6.498246
-1667.266529,1,6.538145
-1809.241513,1,6.581027
-8653.598736,1,6.620926
-8379.871623,1,6.661814
-9213.760274,1,6.704666
-3539.74382,1,6.745555
-3566.276267,1,6.788472
-532.733464,1,6.829366
-74.771292,1,6.871251
-10497.57792,1,6.916099
-1232.239803,1,6.96098
-3744.909661,1,7.007855
-2515.838308,1,7.05016
-15487.053898,1,7.09105
-3222.354002,1,7.134902
-528.694056,1,7.176788
-6855.633537,1,7.220671
-10434.732827,1,7.265553
-5374.104465,1,7.309434
-523.78653,1,7.353318
-16336.777557,1,7.397201
-3637.656614,1,7.440116
-8577.134129,1,7.486962
-2989.667693,1,7.533834
-1704.241527,1,7.581707
